,reads,p
0,1,0.06358547897009435
1,2,0.058020150327842634
2,3,0.04935231089077243
3,4,0.0411322565168719
4,5,0.03934111626419319
5,6,0.033839756916679994
6,7,0.03064129217975372
7,8,0.03182472413241644
8,9,0.02916999840076763
9,10,0.02462817847433232
10,11,0.026227410842795458
11,12,0.02360466975851591
12,13,0.021621621621621623
13,14,0.01986246601631217
14,15,0.02008635854789701
15,16,0.018519110826803135
16,17,0.017239724932032623
17,18,0.01707980169518631
18,19,0.01615224692147769
19,20,0.01787941787941788
20,21,0.015512553974092435
21,22,0.013337597952982568
22,23,0.013657444426675196
23,24,0.014009275547737086
24,25,0.014105229489844875
25,26,0.011994242763473533
26,27,0.011130657284503439
27,28,0.01173836558451943
28,29,0.010522948984487445
29,30,0.010810810810810811
30,31,0.010586918279225971
31,32,0.010458979689748921
32,33,0.009915240684471454
33,34,0.010299056452902607
34,35,0.00812410043179274
35,36,0.009563409563409564
36,37,0.00834799296337758
37,38,0.00847593155285463
38,39,0.007964177194946426
39,40,0.007836238605469375
40,41,0.006588837358068127
41,42,0.006812729889652967
42,43,0.006077083000159923
43,44,0.007100591715976331
44,45,0.007100591715976331
45,46,0.00662082200543739
46,47,0.006268990884375499
47,48,0.006045098352790661
48,49,0.0058212058212058215
49,50,0.005469374700143931
50,51,0.004893651047497201
51,52,0.004317927394850472
52,53,0.004701743163281625
53,54,0.004541819926435311
54,55,0.0034543419158803773
55,56,0.004030065568527107
56,57,0.003390372621141852
57,58,0.0038381576843115306
58,59,0.0031344954421877497
59,60,0.0034543419158803773
60,61,0.0033264033264033266
61,62,0.0032944186790340637
62,63,0.0033264033264033266
63,64,0.002878618263233648
64,65,0.0026227410842795456
65,66,0.0023988485526947067
66,67,0.002590756436910283
67,68,0.002462817847433232
68,69,0.0022709099632176556
69,70,0.0022389253158483927
70,71,0.00220694066847913
71,72,0.0021429713737406045
72,73,0.0014712937789860866
73,74,0.0017911402526787142
74,75,0.0017271709579401886
75,76,0.001951063489525028
76,77,0.001695186310570926
77,78,0.0016632016632016633
78,79,0.0016312170158324004
79,80,0.001183431952662722
80,81,0.001439309131616824
81,82,0.0013113705421397728
82,83,0.0011514473052934592
83,84,0.001183431952662722
84,85,0.0012474012474012475
85,86,0.0009915240684471454
86,87,0.0009915240684471454
87,88,0.0010235087158164081
88,89,0.0008635854789700943
89,90,0.0009275547737086199
90,91,0.0010235087158164081
91,92,0.0010874780105549337
92,93,0.0005117543579082041
93,94,0.0009275547737086199
94,95,0.0008955701263393571
95,96,0.0007356468894930433
96,97,0.0008955701263393571
97,98,0.0006716775947545179
98,99,0.0007356468894930433
99,100,0.0006396929473852551
100,101,0.00031984647369262754
101,102,0.0005757236526467296
102,103,0.00044778506316967855
103,104,0.0006077083000159923
104,105,0.0005757236526467296
105,106,0.0007356468894930433
106,107,0.00047976971053894133
107,108,0.0004158004158004158
108,109,0.00019190788421557652
109,110,0.0002878618263233648
110,111,0.00025587717895410203
111,112,0.00031984647369262754
112,113,0.00038381576843115304
113,114,0.00031984647369262754
114,115,0.0004158004158004158
115,116,0.00015992323684631377
116,117,0.0002878618263233648
117,118,9.595394210778826e-05
118,119,0.00038381576843115304
119,120,0.0003518311210618903
120,121,0.00022389253158483927
121,122,0.00038381576843115304
122,123,0.00015992323684631377
123,124,0.00019190788421557652
124,125,9.595394210778826e-05
125,126,0.00025587717895410203
126,127,0.00022389253158483927
127,128,0.0002878618263233648
128,129,0.00022389253158483927
129,130,0.00038381576843115304
130,131,0.00015992323684631377
131,132,0.00012793858947705101
132,133,0.0003518311210618903
133,134,0.00012793858947705101
134,135,0.00012793858947705101
135,136,3.1984647369262754e-05
136,137,9.595394210778826e-05
137,138,0.00015992323684631377
138,139,3.1984647369262754e-05
