,reads,p
139,140,6.396929473852551e-05
140,141,9.595394210778826e-05
141,142,9.595394210778826e-05
142,143,6.396929473852551e-05
143,144,6.396929473852551e-05
144,145,0.0
145,146,9.595394210778826e-05
146,147,9.595394210778826e-05
147,148,0.0
148,149,3.1984647369262754e-05
149,150,3.1984647369262754e-05
150,151,9.595394210778826e-05
151,152,3.1984647369262754e-05
152,153,9.595394210778826e-05
153,154,0.0
154,155,6.396929473852551e-05
155,156,3.1984647369262754e-05
156,157,0.0
157,158,3.1984647369262754e-05
158,159,3.1984647369262754e-05
159,160,6.396929473852551e-05
160,161,6.396929473852551e-05
161,162,6.396929473852551e-05
162,163,0.00019190788421557652
163,164,0.0
164,165,3.1984647369262754e-05
165,166,6.396929473852551e-05
166,167,9.595394210778826e-05
167,168,9.595394210778826e-05
168,169,0.0
169,170,0.0
170,171,9.595394210778826e-05
171,172,0.0
172,173,0.0
173,174,6.396929473852551e-05
174,175,3.1984647369262754e-05
175,176,0.0
176,177,0.0
177,178,0.0
178,179,0.0
179,180,0.0
180,181,0.0
181,182,0.0
182,183,0.0
183,184,0.0
184,185,0.0
185,186,3.1984647369262754e-05
186,187,6.396929473852551e-05
187,188,6.396929473852551e-05
188,189,0.0
189,190,3.1984647369262754e-05
190,191,3.1984647369262754e-05
191,192,0.0
192,193,0.0
193,194,0.0
194,195,0.0
195,196,0.0
196,197,3.1984647369262754e-05
197,198,0.0
198,199,0.0
199,200,0.0
200,201,0.0
201,202,0.0
202,203,0.0
203,204,0.0
204,205,0.0
205,206,0.0
206,207,3.1984647369262754e-05
207,208,0.0
208,209,0.0
209,210,3.1984647369262754e-05
210,211,0.0
211,212,0.0
212,213,0.0
213,214,0.0
214,215,0.0
215,216,3.1984647369262754e-05
216,217,0.0
217,218,3.1984647369262754e-05
218,219,3.1984647369262754e-05
219,220,0.0
220,221,0.0
221,222,3.1984647369262754e-05
222,223,0.0
223,224,0.0
224,225,0.0
225,226,0.0
226,227,6.396929473852551e-05
227,228,0.0
228,229,0.0
229,230,3.1984647369262754e-05
230,231,0.0
231,232,0.0
232,233,0.0
233,234,0.0
234,235,0.0
235,236,0.0
236,237,0.0
237,238,0.0
238,239,3.1984647369262754e-05
239,240,0.0
240,241,3.1984647369262754e-05
241,242,0.0
242,243,3.1984647369262754e-05
243,244,3.1984647369262754e-05
244,245,0.0
245,246,3.1984647369262754e-05
246,247,0.0
247,248,0.0
248,249,0.0
249,250,0.0
250,251,0.0
251,252,0.0
252,253,0.0
253,254,0.0
254,255,0.0
255,256,0.0
256,257,3.1984647369262754e-05
257,258,0.0
258,259,0.0
259,260,3.1984647369262754e-05
260,261,0.0
261,262,0.0
262,263,0.0
263,264,0.0
264,265,0.0
265,266,0.0
266,267,0.0
267,268,3.1984647369262754e-05
268,269,0.0
269,270,0.0
270,271,0.0
271,272,0.0
272,273,0.0
273,274,0.0
274,275,0.0
275,276,0.0
276,277,0.0
277,278,0.0
278,279,0.0
279,280,0.0
280,281,0.0
281,282,0.0
282,283,0.0
283,284,0.0
284,285,0.0
285,286,0.0
286,287,0.0
287,288,0.0
288,289,0.0
289,290,0.0
290,291,0.0
291,292,0.0
292,293,0.0
293,294,0.0
294,295,0.0
295,296,0.0
296,297,0.0
297,298,0.0
298,299,0.0
299,300,0.0
300,301,0.0
301,302,0.0
302,303,0.0
303,304,0.0
304,305,0.0
305,306,0.0
306,307,0.0
307,308,0.0
308,309,0.0
309,310,0.0
310,311,0.0
311,312,3.1984647369262754e-05
312,313,0.0
313,314,0.0
314,315,0.0
315,316,0.0
316,317,0.0
317,318,0.0
318,319,0.0
319,320,0.0
320,321,0.0
321,322,0.0
322,323,0.0
323,324,0.0
324,325,0.0
325,326,0.0
326,327,0.0
327,328,0.0
328,329,0.0
329,330,0.0
330,331,0.0
331,332,0.0
332,333,0.0
333,334,0.0
334,335,3.1984647369262754e-05
