,reads,p
0,1,0.14134639270378652
1,2,0.10798821817665638
2,3,0.08346641115724476
3,4,0.07352993363852514
4,5,0.06416125483516094
5,6,0.056105610561056105
6,7,0.04932751339650094
7,8,0.04513999787075482
8,9,0.038858724582135636
9,10,0.03580680648710032
10,11,0.031335391603676495
11,12,0.027999574150963484
12,13,0.02622520316547784
13,14,0.02256999893537741
14,15,0.019801980198019802
15,16,0.018488945668760425
16,17,0.01916320664324497
17,18,0.015046665956918273
18,19,0.014194967883885162
19,20,0.011320486887398418
20,21,0.011923773022463537
21,22,0.010397813974945882
22,23,0.009013804606267078
23,24,0.00745235813903971
24,25,0.006494197806877462
25,26,0.005607012314134639
26,27,0.005429575215586075
27,28,0.005500550055005501
28,29,0.003442279711842152
29,30,0.003761666489229568
30,31,0.002945455835906171
31,32,0.0027680187373576065
32,33,0.0023776571205507647
33,34,0.0020937577628730615
34,35,0.0020227829234536355
35,36,0.00195180808403421
36,37,0.0016324213066467937
37,38,0.001525959047517655
38,39,0.0013130345292593775
39,40,0.0010291351715816742
40,41,0.000745235813903971
41,42,0.000745235813903971
42,43,0.0007097483941942581
43,44,0.0004968238759359807
44,45,0.000745235813903971
45,46,0.0008162106533233968
46,47,0.0005677987153554065
47,48,0.0004968238759359807
48,49,0.00039036161680684197
49,50,0.0004968238759359807
50,51,0.00035487419709712907
51,52,0.00017743709854856453
52,53,0.00031938677738741617
53,54,0.00014194967883885163
54,55,0.00035487419709712907
55,56,3.548741970971291e-05
56,57,0.00035487419709712907
57,58,3.548741970971291e-05
58,59,7.097483941942582e-05
59,60,0.0
60,61,0.00010646225912913872
61,62,0.00010646225912913872
62,63,3.548741970971291e-05
63,64,0.0
64,65,0.00010646225912913872
65,66,3.548741970971291e-05
66,67,0.0
67,68,3.548741970971291e-05
68,69,7.097483941942582e-05
69,70,0.0
70,71,3.548741970971291e-05
71,72,0.00010646225912913872
72,73,7.097483941942582e-05
73,74,0.0
74,75,7.097483941942582e-05
75,76,3.548741970971291e-05
76,77,0.0
77,78,3.548741970971291e-05
78,79,0.00014194967883885163
79,80,7.097483941942582e-05
80,81,0.0
81,82,7.097483941942582e-05
82,83,0.0
83,84,3.548741970971291e-05
84,85,0.0
85,86,3.548741970971291e-05
86,87,0.0
87,88,3.548741970971291e-05
88,89,3.548741970971291e-05
89,90,0.0
90,91,0.0
91,92,0.0
92,93,0.0
93,94,0.0
94,95,0.0
95,96,0.0
96,97,0.0
97,98,0.0
98,99,3.548741970971291e-05
99,100,0.0
100,101,3.548741970971291e-05
101,102,0.0
102,103,0.0
103,104,0.0
104,105,0.0
105,106,0.0
106,107,0.0
107,108,3.548741970971291e-05
